name,abbreviation,address,area,city,state,zip,phone,latitude,longitude,procedure,cost,Adult Cleaning,Composite Filling,Extraction,Root Canal,Porcelain Crown,website,fake_data
San Diego Smile Dentistry,SD Smile,7710 Balboa Ave,Kearny Mesa,San Diego,CA,92111,(619) 737-6453,32.82225,-117.157913,Adult Cleaning,105,105,140,110,725,850,https://sd-smile.com/,Mock Data
San Diego Smile Dentistry,SD Smile,7710 Balboa Ave,Kearny Mesa,San Diego,CA,92111,(619) 737-6453,32.82225,-117.157913,Composite Filling,140,105,140,110,725,850,https://sd-smile.com/,Mock Data
San Diego Smile Dentistry,SD Smile,7710 Balboa Ave,Kearny Mesa,San Diego,CA,92111,(619) 737-6453,32.82225,-117.157913,Extraction,110,105,140,110,725,850,https://sd-smile.com/,Mock Data
San Diego Smile Dentistry,SD Smile,7710 Balboa Ave,Kearny Mesa,San Diego,CA,92111,(619) 737-6453,32.82225,-117.157913,Root Canal,725,105,140,110,725,850,https://sd-smile.com/,Mock Data
San Diego Smile Dentistry,SD Smile,7710 Balboa Ave,Kearny Mesa,San Diego,CA,92111,(619) 737-6453,32.82225,-117.157913,Porcelain Crown,850,105,140,110,725,850,https://sd-smile.com/,Mock Data
Great Smile Dental,Great Smile,5210 Balboa Ave,Clairemont,San Diego,CA,92117,(858) 598-5842,32.81897,-117.183968,Adult Cleaning,95,95,120,110,765,1105,https://great-smile-dental-orthodontics-and-periodontics.business.site/,Mock Data
Great Smile Dental,Great Smile,5210 Balboa Ave,Clairemont,San Diego,CA,92117,(858) 598-5842,32.81897,-117.183968,Composite Filling,120,95,120,110,765,1105,https://great-smile-dental-orthodontics-and-periodontics.business.site/,Mock Data
Great Smile Dental,Great Smile,5210 Balboa Ave,Clairemont,San Diego,CA,92117,(858) 598-5842,32.81897,-117.183968,Extraction,110,95,120,110,765,1105,https://great-smile-dental-orthodontics-and-periodontics.business.site/,Mock Data
Great Smile Dental,Great Smile,5210 Balboa Ave,Clairemont,San Diego,CA,92117,(858) 598-5842,32.81897,-117.183968,Root Canal,765,95,120,110,765,1105,https://great-smile-dental-orthodontics-and-periodontics.business.site/,Mock Data
Great Smile Dental,Great Smile,5210 Balboa Ave,Clairemont,San Diego,CA,92117,(858) 598-5842,32.81897,-117.183968,Porcelain Crown,1105,95,120,110,765,1105,https://great-smile-dental-orthodontics-and-periodontics.business.site/,Mock Data
Dental Express,Express,4110 W Point Loma Blvd,Midway,San Diego,CA,92110,(619) 304-7327,32.753737,-117.223805,Adult Cleaning,100,100,120,125,785,950,https://thedentalexpress.com/w-point-loma-blvd/,Mock Data
Dental Express,Express,4110 W Point Loma Blvd,Midway,San Diego,CA,92110,(619) 304-7327,32.753737,-117.223805,Composite Filling,120,100,120,125,785,950,https://thedentalexpress.com/w-point-loma-blvd/,Mock Data
Dental Express,Express,4110 W Point Loma Blvd,Midway,San Diego,CA,92110,(619) 304-7327,32.753737,-117.223805,Extraction,125,100,120,125,785,950,https://thedentalexpress.com/w-point-loma-blvd/,Mock Data
Dental Express,Express,4110 W Point Loma Blvd,Midway,San Diego,CA,92110,(619) 304-7327,32.753737,-117.223805,Root Canal,785,100,120,125,785,950,https://thedentalexpress.com/w-point-loma-blvd/,Mock Data
Dental Express,Express,4110 W Point Loma Blvd,Midway,San Diego,CA,92110,(619) 304-7327,32.753737,-117.223805,Porcelain Crown,950,100,120,125,785,950,https://thedentalexpress.com/w-point-loma-blvd/,Mock Data
Bay View Dental,Bay View,3737 Moraga Ave,Clairemont,San Diego,CA,92117,(858) 274-4400,32.809311,-117.210185,Adult Cleaning,110,110,135,130,780,1100,https://www.markemersondds.com/,Mock Data
Bay View Dental,Bay View,3737 Moraga Ave,Clairemont,San Diego,CA,92117,(858) 274-4400,32.809311,-117.210185,Composite Filling,135,110,135,130,780,1100,https://www.markemersondds.com/,Mock Data
Bay View Dental,Bay View,3737 Moraga Ave,Clairemont,San Diego,CA,92117,(858) 274-4400,32.809311,-117.210185,Extraction,130,110,135,130,780,1100,https://www.markemersondds.com/,Mock Data
Bay View Dental,Bay View,3737 Moraga Ave,Clairemont,San Diego,CA,92117,(858) 274-4400,32.809311,-117.210185,Root Canal,780,110,135,130,780,1100,https://www.markemersondds.com/,Mock Data
Bay View Dental,Bay View,3737 Moraga Ave,Clairemont,San Diego,CA,92117,(858) 274-4400,32.809311,-117.210185,Porcelain Crown,1100,110,135,130,780,1100,https://www.markemersondds.com/,Mock Data
"David Eshom, DDS",Eshom,8899 University Center Ln,University City,San Diego,CA,92122,(858) 201-4475,32.869946,-117.227591,Adult Cleaning,130,130,250,250,850,1350,https://www.eshomdds.com/,Actual Data
"David Eshom, DDS",Eshom,8899 University Center Ln,University City,San Diego,CA,92122,(858) 201-4475,32.869946,-117.227591,Composite Filling,250,130,250,250,850,1350,https://www.eshomdds.com/,Actual Data
"David Eshom, DDS",Eshom,8899 University Center Ln,University City,San Diego,CA,92122,(858) 201-4475,32.869946,-117.227591,Extraction,250,130,250,250,850,1350,https://www.eshomdds.com/,Actual Data
"David Eshom, DDS",Eshom,8899 University Center Ln,University City,San Diego,CA,92122,(858) 201-4475,32.869946,-117.227591,Root Canal,850,130,250,250,850,1350,https://www.eshomdds.com/,Actual Data
"David Eshom, DDS",Eshom,8899 University Center Ln,University City,San Diego,CA,92122,(858) 201-4475,32.869946,-117.227591,Porcelain Crown,1350,130,250,250,850,1350,https://www.eshomdds.com/,Actual Data
"Dean Van Nguyen, DDS",Nguyen,4082 30th St,North Park,San Diego,CA,92104,(619) 283-6381,32.751887,-117.130512,Adult Cleaning,120,120,180,180,810,1150,https://www.laserimplantdental.com/,Mock Data
"Dean Van Nguyen, DDS",Nguyen,4082 30th St,North Park,San Diego,CA,92104,(619) 283-6381,32.751887,-117.130512,Composite Filling,180,120,180,180,810,1150,https://www.laserimplantdental.com/,Mock Data
"Dean Van Nguyen, DDS",Nguyen,4082 30th St,North Park,San Diego,CA,92104,(619) 283-6381,32.751887,-117.130512,Extraction,180,120,180,180,810,1150,https://www.laserimplantdental.com/,Mock Data
"Dean Van Nguyen, DDS",Nguyen,4082 30th St,North Park,San Diego,CA,92104,(619) 283-6381,32.751887,-117.130512,Root Canal,810,120,180,180,810,1150,https://www.laserimplantdental.com/,Mock Data
"Dean Van Nguyen, DDS",Nguyen,4082 30th St,North Park,San Diego,CA,92104,(619) 283-6381,32.751887,-117.130512,Porcelain Crown,1150,120,180,180,810,1150,https://www.laserimplantdental.com/,Mock Data
La Mesa Dental,La Mesa,7872 La Mesa Blvd,La Mesa,San Diego,CA,91942,(619) 464-1211,32.767208,-117.027936,Adult Cleaning,100,100,160,170,795,1010,http://www.lamesadental.com/,Mock Data
La Mesa Dental,La Mesa,7872 La Mesa Blvd,La Mesa,San Diego,CA,91942,(619) 464-1211,32.767208,-117.027936,Composite Filling,160,100,160,170,795,1010,http://www.lamesadental.com/,Mock Data
La Mesa Dental,La Mesa,7872 La Mesa Blvd,La Mesa,San Diego,CA,91942,(619) 464-1211,32.767208,-117.027936,Extraction,170,100,160,170,795,1010,http://www.lamesadental.com/,Mock Data
La Mesa Dental,La Mesa,7872 La Mesa Blvd,La Mesa,San Diego,CA,91942,(619) 464-1211,32.767208,-117.027936,Root Canal,795,100,160,170,795,1010,http://www.lamesadental.com/,Mock Data
La Mesa Dental,La Mesa,7872 La Mesa Blvd,La Mesa,San Diego,CA,91942,(619) 464-1211,32.767208,-117.027936,Porcelain Crown,1010,100,160,170,795,1010,http://www.lamesadental.com/,Mock Data
Mission Family Dental,Mission,5995 Mission Gorge Rd,Grantville,San Diego,CA,92120,(619) 280-6500,32.78275,-117.098264,Adult Cleaning,107,107,175,155,805,965,http://sandiegoperfectsmiles.com/,Mock Data
Mission Family Dental,Mission,5995 Mission Gorge Rd,Grantville,San Diego,CA,92120,(619) 280-6500,32.78275,-117.098264,Composite Filling,175,107,175,155,805,965,http://sandiegoperfectsmiles.com/,Mock Data
Mission Family Dental,Mission,5995 Mission Gorge Rd,Grantville,San Diego,CA,92120,(619) 280-6500,32.78275,-117.098264,Extraction,155,107,175,155,805,965,http://sandiegoperfectsmiles.com/,Mock Data
Mission Family Dental,Mission,5995 Mission Gorge Rd,Grantville,San Diego,CA,92120,(619) 280-6500,32.78275,-117.098264,Root Canal,805,107,175,155,805,965,http://sandiegoperfectsmiles.com/,Mock Data
Mission Family Dental,Mission,5995 Mission Gorge Rd,Grantville,San Diego,CA,92120,(619) 280-6500,32.78275,-117.098264,Porcelain Crown,965,107,175,155,805,965,http://sandiegoperfectsmiles.com/,Mock Data
Linda Vista Dentistry,Linda Vista,7440 Beagle St,Clairemont,San Diego,CA,92111,(858) 384-2083,32.807663,-117.160985,Adult Cleaning,110,110,150,160,810,890,N/A,Mock Data
Linda Vista Dentistry,Linda Vista,7440 Beagle St,Clairemont,San Diego,CA,92111,(858) 384-2083,32.807663,-117.160985,Composite Filling,150,110,150,160,810,890,N/A,Mock Data
Linda Vista Dentistry,Linda Vista,7440 Beagle St,Clairemont,San Diego,CA,92111,(858) 384-2083,32.807663,-117.160985,Extraction,160,110,150,160,810,890,N/A,Mock Data
Linda Vista Dentistry,Linda Vista,7440 Beagle St,Clairemont,San Diego,CA,92111,(858) 384-2083,32.807663,-117.160985,Root Canal,810,110,150,160,810,890,N/A,Mock Data
Linda Vista Dentistry,Linda Vista,7440 Beagle St,Clairemont,San Diego,CA,92111,(858) 384-2083,32.807663,-117.160985,Porcelain Crown,890,110,150,160,810,890,N/A,Mock Data
Mesa Dental,Mesa,7625 Mesa College Dr,Clairemont,San Diego,CA,92111,(858) 877-9540,32.800802,-117.157321,Adult Cleaning,100,100,130,150,750,1010,https://mesadentalsd.com/,Mock Data
Mesa Dental,Mesa,7625 Mesa College Dr,Clairemont,San Diego,CA,92111,(858) 877-9540,32.800802,-117.157321,Composite Filling,130,100,130,150,750,1010,https://mesadentalsd.com/,Mock Data
Mesa Dental,Mesa,7625 Mesa College Dr,Clairemont,San Diego,CA,92111,(858) 877-9540,32.800802,-117.157321,Extraction,150,100,130,150,750,1010,https://mesadentalsd.com/,Mock Data
Mesa Dental,Mesa,7625 Mesa College Dr,Clairemont,San Diego,CA,92111,(858) 877-9540,32.800802,-117.157321,Root Canal,750,100,130,150,750,1010,https://mesadentalsd.com/,Mock Data
